"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha_lm";"est.alpha_nparcomp";"nsim"
"n1";3;3;35;3,07091721407561;1;1;0,965;0,93;1000
"n11";5;5;35;2,02443932255725;1;1;0,896;0,817;1000
"n12";10;10;35;1,32494658047579;1;1;0,868;0,765;1000
"n13";20;20;35;0,909158705134688;1;1;0,849;0,787;1000
"n14";40;40;35;0,634298512940944;1;1;0,853;0,827;1000
"n15";50;50;35;0,565857952755537;1;1;0,843;0,814;1000
"n16";80;80;35;0,445672022957397;1;1;0,854;0,828;1000
"n17";100;100;35;0,398140733302122;1;1;0,862;0,828;1000
"n18";200;200;35;0,280826708411501;1;1;0,835;0,803;1000
