"";"n";"mean1";"mean2";"sd1";"sd2";"est.alpha";"nsim"
"n";3;35;35;5;0;0,132;5000
"n1";5;35;35;5;0;0,1696;5000
"n2";10;35;35;5;0;0,0914;5000
"n3";20;35;35;5;0;0,0674;5000
"n4";40;35;35;5;0;0,058;5000
"n5";50;35;35;5;0;0,058;5000
"n6";80;35;35;5;0;0,0566;5000
"n7";100;35;35;5;0;0,0492;5000
"n8";200;35;35;5;0;0,0464;5000
