"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha_lm";"est.alpha_nparcomp";"nsim"
"n1";6;3;35;0;1;1;0,0512;0,0628;5000
"n11";10;5;35;0;1;1;0,0458;0,0444;5000
"n12";20;10;35;0;1;1;0,0494;0,0394;5000
"n13";40;20;35;0;1;1;0,0472;0,0374;5000
"n14";80;40;35;0;1;1;0,0498;0,0438;5000
"n15";100;50;35;0;1;1;0,053;0,0468;5000
"n16";160;80;35;0;1;1;0,0484;0,0468;5000
"n17";200;100;35;0;1;1;0,0544;0,0508;5000
"n18";400;200;35;0;1;1;0,0448;0,0458;5000
