"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha_lm";"est.alpha_nparcomp";"nsim"
"n1";3;3;35;0;1;1;0,0456;0,079;5000
"n11";5;5;35;0;1;1;0,0482;0,0934;5000
"n12";10;10;35;0;1;1;0,05;0,0832;5000
"n13";20;20;35;0;1;1;0,0508;0,0652;5000
"n14";40;40;35;0;1;1;0,048;0,0546;5000
"n15";50;50;35;0;1;1;0,05;0,0526;5000
"n16";80;80;35;0;1;1;0,048;0,0514;5000
"n17";100;100;35;0;1;1;0,0602;0,0618;5000
"n18";200;200;35;0;1;1;0,0512;0,0534;5000
