"";"n";"mean1";"mean2";"sd1";"sd2";"est.alpha";"nsim"
"n";3;35;35;5;0;0,147;1000
"n1";5;35;35;5;0;0,182;1000
"n2";10;35;35;5;0;0,11;1000
"n3";20;35;35;5;0;0,074;1000
"n4";40;35;35;5;0;0,07;1000
"n5";50;35;35;5;0;0,04;1000
"n6";80;35;35;5;0;0,054;1000
"n7";100;35;35;5;0;0,051;1000
"n8";200;35;35;5;0;0,057;1000
