"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha_lm";"est.alpha_nparcomp";"nsim"
"n1";3;3;35;0;1;1;0,06;0,097;1000
"n11";5;5;35;0;1;1;0,042;0,097;1000
"n12";10;10;35;0;1;1;0,054;0,065;1000
"n13";20;20;35;0;1;1;0,048;0,058;1000
"n14";40;40;35;0;1;1;0,048;0,051;1000
"n15";50;50;35;0;1;1;0,054;0,065;1000
"n16";80;80;35;0;1;1;0,049;0,051;1000
"n17";100;100;35;0;1;1;0,072;0,062;1000
"n18";200;200;35;0;1;1;0,05;0,042;1000
