"";"n1";"n2";"mean1";"mean2";"sd1";"sd2";"est.alpha";"nsim"
"n1";6;3;35;35;1;1;0,06;1000
"n11";10;5;35;35;1;1;0,037;1000
"n12";20;10;35;35;1;1;0,045;1000
"n13";40;20;35;35;1;1;0,039;1000
"n14";80;40;35;35;1;1;0,055;1000
"n15";100;50;35;35;1;1;0,048;1000
"n16";160;80;35;35;1;1;0,046;1000
"n17";200;100;35;35;1;1;0,065;1000
"n18";400;200;35;35;1;1;0,05;1000
