"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha_lm";"est.alpha_nparcomp";"nsim"
"n1";6;3;35;0;1;1;0,058;0,071;1000
"n11";10;5;35;0;1;1;0,049;0,042;1000
"n12";20;10;35;0;1;1;0,055;0,045;1000
"n13";40;20;35;0;1;1;0,048;0,049;1000
"n14";80;40;35;0;1;1;0,065;0,043;1000
"n15";100;50;35;0;1;1;0,038;0,031;1000
"n16";160;80;35;0;1;1;0,056;0,045;1000
"n17";200;100;35;0;1;1;0,051;0,048;1000
"n18";400;200;35;0;1;1;0,047;0,049;1000
